deployment,exp_id,val_id,understand,age,sex,education,languages,enjoyment,problems,fairprice,comments,previous_experience,received_from_id,chain,generation,game_order,game_scores,passed_count,dead_end
COGSCI21-LIVINGDOC-ITER-FR-1,Ske6xNLxd,B1xl6gVIxO,yes,24.0,male,graduated_college,English,2,Nope,-$1.00,,Nope,Bko_3kLg_,Bko_3kLg_,1,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('336'), Decimal('30'), Decimal('158'), Decimal('0'), Decimal('0'), Decimal('15'), Decimal('252'), Decimal('33'), Decimal('0'), Decimal('20')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,By9tbevgO,H1xcKZlPld,yes,25.0,female,graduated_college,English,2,No,$5.00,,2-3,Ske6xNLxd,Bko_3kLg_,2,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('354'), Decimal('50'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('11'), Decimal('38'), Decimal('20')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,rkfeybvlu,HygfekZwlO,yes,35.0,male,graduated_college,english,2,no,$10.00,good study,no,By9tbevgO,Bko_3kLg_,3,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('350'), Decimal('50'), Decimal('87'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('100'), Decimal('22'), Decimal('0'), Decimal('20')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,By4DUfwl_,BkeVPLGvxu,yes,66.0,female,some_college,English,2,No,$4.00,Interesting study,No,rkfeybvlu,Bko_3kLg_,4,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('308'), Decimal('20'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('11'), Decimal('0'), Decimal('0')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,SkcGxfDxO,Bkg9GxfPgd,,,,,,,,,,,rkfeybvlu,Bko_3kLg_,4,null,,,returned
COGSCI21-LIVINGDOC-ITER-FR-1,HJEybQwl_,H1lNJWmwxd,,,,,,,,,,,By4DUfwl_,Bko_3kLg_,5,null,,,incomplete
COGSCI21-LIVINGDOC-ITER-FR-1,Hyqg-4wgd,Skgcxb4Dg_,yes,30.0,male,higher_degree,English,2,No.,-$1.00,This was fun!,"No, but that was fun!",By4DUfwl_,Bko_3kLg_,5,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('392'), Decimal('50'), Decimal('91'), Decimal('0'), Decimal('0'), Decimal('0'), Decimal('284'), Decimal('33'), Decimal('18'), Decimal('40')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,B1aIRNDx_,SJg68CNwlO,,,,,,,,,,,Hyqg-4wgd,Bko_3kLg_,6,null,,,returned
COGSCI21-LIVINGDOC-ITER-FR-1,B1MmW_Pgd,ryxGm-uweO,yes,24.0,male,graduated_college,english,2,no,$10.00,actually kinda fun,no,Hyqg-4wgd,Bko_3kLg_,6,"[""explore_exploit_v1"", ""preconditions_v1"", ""relational_v1"", ""plaqueattack_v1"", ""avoid_george_v1"", ""watergame_v1"", ""sokoban_v1"", ""zelda_v1"", ""lemmings_var2_v1"", ""push_boulders_v1""]","[Decimal('384'), Decimal('50'), Decimal('214'), Decimal('170'), Decimal('0'), Decimal('30'), Decimal('300'), Decimal('55'), Decimal('0'), Decimal('40')]",1.0,
COGSCI21-LIVINGDOC-ITER-FR-1,rJegJ_Dxu,BygllyuPeO,,,,,,,,,,,Hyqg-4wgd,Bko_3kLg_,6,null,,,returned
